language,domain,pair_id,statement,label
en,book_author,book_the_lord_of_the_rings,Charles Dickens wrote The Lord of the Rings.,0
en,book_author,book_harry_potter_and_the_philosophers_stone,J. K. Rowling wrote Harry Potter and the Philosopher's Stone.,1
en,book_author,book_harry_potter_and_the_philosophers_stone,Leo Tolstoy wrote Harry Potter and the Philosopher's Stone.,0
en,book_author,book_the_old_man_and_the_sea,Ernest Hemingway wrote The Old Man and the Sea.,1
en,book_author,book_the_old_man_and_the_sea,Leo Tolstoy wrote The Old Man and the Sea.,0
en,book_author,book_a_farewell_to_arms,Ernest Hemingway wrote A Farewell to Arms.,1
en,book_author,book_a_farewell_to_arms,Fyodor Dostoevsky wrote A Farewell to Arms.,0
en,book_author,book_the_adventures_of_tom_sawyer,Mark Twain wrote The Adventures of Tom Sawyer.,1
en,book_author,book_the_adventures_of_tom_sawyer,Fyodor Dostoevsky wrote The Adventures of Tom Sawyer.,0
en,book_author,book_adventures_of_huckleberry_finn,Mark Twain wrote Adventures of Huckleberry Finn.,1
en,book_author,book_adventures_of_huckleberry_finn,Gabriel Garcia Marquez wrote Adventures of Huckleberry Finn.,0
en,book_author,book_great_expectations,Charles Dickens wrote Great Expectations.,1
en,book_author,book_great_expectations,Albert Camus wrote Great Expectations.,0
en,book_author,book_oliver_twist,Charles Dickens wrote Oliver Twist.,1
en,book_author,book_oliver_twist,Mary Shelley wrote Oliver Twist.,0
en,book_author,book_war_and_peace,Leo Tolstoy wrote War and Peace.,1
en,book_author,book_war_and_peace,Bram Stoker wrote War and Peace.,0
en,book_author,book_anna_karenina,Leo Tolstoy wrote Anna Karenina.,1
en,book_author,book_anna_karenina,Homer wrote Anna Karenina.,0
en,book_author,book_crime_and_punishment,Fyodor Dostoevsky wrote Crime and Punishment.,1
en,book_author,book_crime_and_punishment,Homer wrote Crime and Punishment.,0
en,book_author,book_the_brothers_karamazov,Fyodor Dostoevsky wrote The Brothers Karamazov.,1
en,book_author,book_the_brothers_karamazov,Dante Alighieri wrote The Brothers Karamazov.,0
en,book_author,book_one_hundred_years_of_solitude,Gabriel Garcia Marquez wrote One Hundred Years of Solitude.,1
en,book_author,book_one_hundred_years_of_solitude,George Orwell wrote One Hundred Years of Solitude.,0
en,book_author,book_the_stranger,Albert Camus wrote The Stranger.,1
en,book_author,book_the_stranger,George Orwell wrote The Stranger.,0
en,book_author,book_frankenstein,Mary Shelley wrote Frankenstein.,1
en,book_author,book_frankenstein,Jane Austen wrote Frankenstein.,0
en,book_author,book_dracula,Bram Stoker wrote Dracula.,1
en,book_author,book_dracula,Jane Austen wrote Dracula.,0
en,book_author,book_the_odyssey,Homer wrote The Odyssey.,1
en,book_author,book_the_odyssey,Charlotte Bronte wrote The Odyssey.,0
en,book_author,book_the_iliad,Homer wrote The Iliad.,1
en,book_author,book_the_iliad,Emily Bronte wrote The Iliad.,0
en,book_author,book_the_divine_comedy,Dante Alighieri wrote The Divine Comedy.,1
en,book_author,book_the_divine_comedy,Herman Melville wrote The Divine Comedy.,0
en,landmark_country,landmark_the_eiffel_tower,the Eiffel Tower is in France.,1
en,landmark_country,landmark_the_eiffel_tower,the Eiffel Tower is in India.,0
en,landmark_country,landmark_the_colosseum,the Colosseum is in Italy.,1
en,landmark_country,landmark_the_colosseum,the Colosseum is in Japan.,0
en,landmark_country,landmark_the_leaning_tower_of_pisa,the Leaning Tower of Pisa is in Italy.,1
en,landmark_country,landmark_the_leaning_tower_of_pisa,the Leaning Tower of Pisa is in Japan.,0
en,landmark_country,landmark_the_acropolis,the Acropolis is in Greece.,1
en,landmark_country,landmark_the_acropolis,the Acropolis is in Jordan.,0
en,landmark_country,landmark_the_great_wall,the Great Wall is in China.,1
en,landmark_country,landmark_the_great_wall,the Great Wall is in Mexico.,0
en,landmark_country,landmark_the_taj_mahal,the Taj Mahal is in India.,1
en,landmark_country,landmark_the_taj_mahal,the Taj Mahal is in Panama.,0
en,landmark_country,landmark_machu_picchu,Machu Picchu is in Peru.,1
en,landmark_country,landmark_machu_picchu,Machu Picchu is in Russia.,0
en,landmark_country,landmark_christ_the_redeemer,Christ the Redeemer is in Brazil.,1
en,landmark_country,landmark_christ_the_redeemer,Christ the Redeemer is in Russia.,0
en,landmark_country,landmark_the_pyramids_of_giza,the Pyramids of Giza is in Egypt.,1
en,landmark_country,landmark_the_pyramids_of_giza,the Pyramids of Giza is in South Africa.,0
en,landmark_country,landmark_petra,Petra is in Jordan.,1
en,landmark_country,landmark_petra,Petra is in Spain.,0
en,landmark_country,landmark_stonehenge,Stonehenge is in United Kingdom.,1
en,landmark_country,landmark_stonehenge,Stonehenge is in Thailand.,0
en,landmark_country,landmark_the_statue_of_liberty,the Statue of Liberty is in United States.,1
en,landmark_country,landmark_the_statue_of_liberty,the Statue of Liberty is in Turkey.,0
en,landmark_country,landmark_mount_rushmore,Mount Rushmore is in United States.,1
en,landmark_country,landmark_mount_rushmore,Mount Rushmore is in United Arab Emirates.,0
en,landmark_country,landmark_the_sydney_opera_house,the Sydney Opera House is in Australia.,1
en,landmark_country,landmark_the_sydney_opera_house,the Sydney Opera House is in United Kingdom.,0
en,landmark_country,landmark_angkor_wat,Angkor Wat is in Cambodia.,1
en,landmark_country,landmark_angkor_wat,Angkor Wat is in United States.,0
en,landmark_country,landmark_the_burj_khalifa,the Burj Khalifa is in United Arab Emirates.,1
en,landmark_country,landmark_the_burj_khalifa,the Burj Khalifa is in Australia.,0
en,landmark_country,landmark_the_kremlin,the Kremlin is in Russia.,1
en,landmark_country,landmark_the_kremlin,the Kremlin is in Brazil.,0
en,landmark_country,landmark_neuschwanstein_castle,Neuschwanstein Castle is in Germany.,1
en,landmark_country,landmark_neuschwanstein_castle,Neuschwanstein Castle is in Cambodia.,0
en,landmark_country,landmark_the_louvre_museum,the Louvre Museum is in France.,1
en,landmark_country,landmark_the_louvre_museum,the Louvre Museum is in Canada.,0
en,landmark_country,landmark_the_sagrada_familia,the Sagrada Familia is in Spain.,1
en,landmark_country,landmark_the_sagrada_familia,the Sagrada Familia is in China.,0
en,landmark_country,landmark_chichen_itza,Chichen Itza is in Mexico.,1
en,landmark_country,landmark_chichen_itza,Chichen Itza is in Egypt.,0
en,landmark_country,landmark_the_palace_of_versailles,the Palace of Versailles is in France.,1
en,landmark_country,landmark_the_palace_of_versailles,the Palace of Versailles is in Germany.,0
en,landmark_country,landmark_the_forbidden_city,the Forbidden City is in China.,1
en,landmark_country,landmark_the_forbidden_city,the Forbidden City is in Germany.,0
en,landmark_country,landmark_the_blue_mosque,the Blue Mosque is in Turkey.,1
en,landmark_country,landmark_the_blue_mosque,the Blue Mosque is in Greece.,0
en,landmark_country,landmark_the_tower_of_london,the Tower of London is in United Kingdom.,1
en,landmark_country,landmark_the_tower_of_london,the Tower of London is in India.,0
en,landmark_country,landmark_the_grand_palace,the Grand Palace is in Thailand.,1
en,landmark_country,landmark_the_grand_palace,the Grand Palace is in Italy.,0
en,landmark_country,landmark_mount_fuji,Mount Fuji is in Japan.,1
en,landmark_country,landmark_mount_fuji,Mount Fuji is in Jordan.,0
en,landmark_country,landmark_table_mountain,Table Mountain is in South Africa.,1
en,landmark_country,landmark_table_mountain,Table Mountain is in Jordan.,0
en,landmark_country,landmark_the_cn_tower,the CN Tower is in Canada.,1
en,landmark_country,landmark_the_cn_tower,the CN Tower is in Mexico.,0
en,landmark_country,landmark_the_panama_canal,the Panama Canal is in Panama.,1
en,landmark_country,landmark_the_panama_canal,the Panama Canal is in Peru.,0
