language,domain,pair_id,statement,label
en,capital_balanced,balanced_capital_bangladesh_sri_lanka,The capital of Sri Lanka is Dhaka.,0
en,capital_balanced,balanced_capital_myanmar_cambodia,The capital of Myanmar is Naypyidaw.,1
en,capital_balanced,balanced_capital_myanmar_cambodia,The capital of Myanmar is Phnom Penh.,0
en,capital_balanced,balanced_capital_myanmar_cambodia,The capital of Cambodia is Phnom Penh.,1
en,capital_balanced,balanced_capital_myanmar_cambodia,The capital of Cambodia is Naypyidaw.,0
en,capital_balanced,balanced_capital_laos_cuba,The capital of Laos is Vientiane.,1
en,capital_balanced,balanced_capital_laos_cuba,The capital of Laos is Havana.,0
en,capital_balanced,balanced_capital_laos_cuba,The capital of Cuba is Havana.,1
en,capital_balanced,balanced_capital_laos_cuba,The capital of Cuba is Vientiane.,0
en,capital_balanced,balanced_capital_jamaica_dominican_republic,The capital of Jamaica is Kingston.,1
en,capital_balanced,balanced_capital_jamaica_dominican_republic,The capital of Jamaica is Santo Domingo.,0
en,capital_balanced,balanced_capital_jamaica_dominican_republic,The capital of Dominican Republic is Santo Domingo.,1
en,capital_balanced,balanced_capital_jamaica_dominican_republic,The capital of Dominican Republic is Kingston.,0
en,capital_balanced,balanced_capital_costa_rica_panama,The capital of Costa Rica is San Jose.,1
en,capital_balanced,balanced_capital_costa_rica_panama,The capital of Costa Rica is Panama City.,0
en,capital_balanced,balanced_capital_costa_rica_panama,The capital of Panama is Panama City.,1
en,capital_balanced,balanced_capital_costa_rica_panama,The capital of Panama is San Jose.,0
